Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Winace Tablet,PAIN ANALGESICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Chupp LS Syrup,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
D Clow-P Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Nanax 10 Tablet,NEURO CNS,158,2.67,7.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zedex Cough Syrup,RESPIRATORY,45,0.76,9.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lumadip Cream,DERMA,98,1.66,8.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabisun DSR Capsule,GASTRO INTESTINAL,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flag 500mg Tablet,ANTI INFECTIVES,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tenglee-M 20 Tablet ER,ANTI DIABETICS,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Rindclear Anti Acne Soap,DERMA,473,7.99,2.01,High Flexibility (Safe),Lean Inventory (Low Risk)
Gabaco-NT Tablet,NEURO CNS,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Macsart CL 10mg/40mg Tablet,CARDIAC,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Kglim 2mg Tablet,ANTI DIABETICS,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
LQuin  250 Tablet,OPHTHAL,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Razo 20 Tablet,GASTRO INTESTINAL,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Faronem CV Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Betaloc 50mg Tablet,CARDIAC,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mupidac Cream,DERMA,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xone 250mg Injection,ANTI INFECTIVES,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acefen 100 mg/125 mg Tablet,PAIN ANALGESICS,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Detcort 6mg Tablet,HORMONE,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pancas D 10mg/40mg Capsule,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Nimli P Suspension,PAIN ANALGESICS,378,6.39,3.61,Medium Flexibility,Regular Monitoring
Vereheal DS 90mg/48mg/100mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Raviflam S Tablet,PAIN ANALGESICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
B-Pex Tablet,VITAMINS MINERALS NUTRIENT,369,6.23,3.77,Medium Flexibility,Regular Monitoring
Chymaze Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Palido-OD 6 Tablet ER,NEURO CNS,32,0.54,9.46,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rabtab 20mg Tablet,GASTRO INTESTINAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kivopan 40mg Tablet,GASTRO INTESTINAL,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cura 100 DT Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rocort 6mg Tablet,HORMONE,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Reliferon 3MIU Injection,ANTI NEOPLASTICS,125,2.11,7.89,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Parafen Forte Tablet,PAIN ANALGESICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Rosulip 5 Tablet,CARDIAC,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cerzin L 2.5mg/5ml Syrup,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vagi Vaginal Cream,GYNAECOLOGICA,71,1.2,8.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Velpod CV 200mg/125mg Tablet,ANTI INFECTIVES,24,0.41,9.59,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Unigrilin 75 Injection,BLOOD RELATED,64,1.08,8.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
PT-Rich 4mg/0.5mg Injection,ANTI INFECTIVES,73,1.23,8.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Halocalm Plus Tablet,NEURO CNS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Stylecystin EF 600mg Tablet,RESPIRATORY,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Femilon Tablet,GYNAECOLOGICA,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Cerecetam 1200mg Tablet,NEURO CNS,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
G-Rox CR 25 Tablet,NEURO CNS,12,0.2,9.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
NO Dizz 8mg Tablet,NEURO CNS,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimpain 100mg Tablet MD,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Fact 20mg Tablet,GASTRO INTESTINAL,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Herclon 150mg Injection,ANTI NEOPLASTICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Medol SP 100mg/325mg/15mg Tablet,PAIN ANALGESICS,39,0.66,9.34,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Kemilizer Syrup,UROLOGY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Btquin 200mg Tablet,ANTI INFECTIVES,84,1.42,8.58,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gonof 200mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Gabaloy-NT Tablet,NEURO CNS,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mepred 1000mg Injection,HORMONES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Augmentin 1000 Duo Tablet,ANTI INFECTIVES,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Keepmet T 40mg/50mg Tablet,CARDIAC,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elfi O 200 mg/200 mg Tablet,ANTI INFECTIVES,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Acetal P  100 mg/500 mg Tablet,PAIN ANALGESICS,85,1.44,8.56,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Remcort 40mg Injection,DERMA,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Grandpride M 2mg/500mg Tablet,ANTI DIABETICS,101,1.71,8.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voranin 300mg Tablet SR,GYNAECOLOGICAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Hydol 25 Tablet,RESPIRATORY,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Omross-D Capsule,GASTRO INTESTINAL,47,0.79,9.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Detens 0.5mg/10mg Tablet,NEURO CNS,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Rokflam-SP Tablet,PAIN ANALGESICS,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Elc 5mg Tablet,RESPIRATORY,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Casodex 50mg Tablet,ANTI NEOPLASTIC,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Amoxycillin 500mg Capsule,ANTI INFECTIVES,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Olmetop 10mg Tablet,CARDIAC,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Gcom Eye Drop,OPHTHA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gliotem 100mg Capsule,ANTI NEOPLASTICS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Geroxim 500mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Torgus MR 60mg/4mg Tablet,PAIN ANALGESICS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Stresnil Plus 0.5mg/10mg Tablet,NEURO CNS,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Nimi P 100mg/500mg Tablet,PAIN ANALGESICS,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Entof 400mg Tablet,ANTI INFECTIVES,106,1.79,8.21,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Jornoff-OZ Tablet,GASTRO INTESTINAL,10,0.17,9.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gemtaz Infusmart 1.6g Injection,ANTI NEOPLASTICS,27,0.46,9.54,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
N S 0.45% Infusion,BLOOD RELATED,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Safexin 500mg Tablet,ANTI INFECTIVES,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Winer 1000mg Injection,ANTI INFECTIVES,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Voludox-LB Capsule,ANTI INFECTIVES,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Sulpride-RB Capsule SR,GASTRO INTESTINAL,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Xynosure Gel,PAIN ANALGESICS,99,1.67,8.33,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pnz 20 MD Tablet,GASTRO INTESTINAL,588,9.93,0.07,High Flexibility (Safe),Lean Inventory (Low Risk)
Toldiv-D Tablet,PAIN ANALGESICS,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
BIOPRIM 40MG TABLET SR,GYNAECOLOGICAL,132,2.23,7.77,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Metafort G2 CP Tablet PR,ANTI DIABETICS,262,4.43,5.57,Medium Flexibility,Regular Monitoring
Renolid P 100mg/500mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Yaw 5 Tablet,SEX STIMULANTS REJUVENATORS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Gabanu NT 100mg/10mg Tablet,NEURO CNS,76,1.28,8.72,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tlv 15mg Tablet,UROLOGY,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ulcrate 1000mg Oral Suspension,GASTRO INTESTINAL,97,1.64,8.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Amonic 500mg/125mg Tablet,ANTI INFECTIVES,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flojo Eye Drop,ANTI INFECTIVES,5,0.08,9.92,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Silomax D 4mg/0.5mg Capsule,UROLOG,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Unodol 100mg/325mg Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Brocofil-DR Syrup Sugar Free,RESPIRATORY,57,0.96,9.04,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lupimeg 1000mg Tablet,ANTI DIABETICS,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ixipan D 30mg/40mg Capsule SR,GASTRO INTESTINAL,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Reoxim 500mg Tablet,ANTI INFECTIVES,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Fenydro M 10mg/120mg Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Britzilam 25mg Tablet,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Eurek Syrup,UROLOGY,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Endogesic P 100 mg/500 mg Tablet,PAIN ANALGESICS,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glycap M 80mg/500mg Tablet,ANTI DIABETICS,20,0.34,9.66,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimpure M 2mg/500mg Tablet SR,ANTI DIABETICS,374,6.32,3.68,Medium Flexibility,Regular Monitoring
Nitrocin 50mg Injection,CARDIAC,40,0.68,9.32,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vetodep 20mg Capsule,NEURO CNS,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Pnz 40 Tablet,GASTRO INTESTINAL,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Doxofit M 400mg/10mg Tablet,RESPIRATORY,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rifintra 400mg Tablet,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Rosfatin ASP 10mg/75mg Capsule,CARDIAC,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Gopic M 300mg/500mcg Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Azishine 500mg Tablet,ANTI INFECTIVES,77,1.3,8.7,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tranxit Tablet,NEURO CNS,100,1.69,8.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lormol T4 Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Wahcin-D Tablet,GASTRO INTESTINAL,130,2.2,7.8,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Leenavo 500mg Tablet,OPHTHAL,312,5.27,4.73,Medium Flexibility,Regular Monitoring
Itgoal-OC Cream,DERMA,159,2.69,7.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Hymelose Intra Ocular Ophthalmic Solution,OPHTHAL,43,0.73,9.27,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Acosil-D Tablet,GASTRO INTESTINAL,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Syneprid Plus Syrup,RESPIRATORY,127,2.15,7.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Zytanix 2.5 Tablet,CARDIAC,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Floramin 10mg Tablet,RESPIRATORY,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Vetigo 16 Tablet,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Edvo 1.5mg Injection,NEURO CNS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Ppbest D 30mg/40mg Capsule SR,GASTRO INTESTINAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Ketofin 2% Lotion,DERMA,584,9.86,0.14,High Flexibility (Safe),Lean Inventory (Low Risk)
Xeroflox 200mg Tablet,ANTI INFECTIVES,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cila 10mg Tablet,SEX STIMULANTS REJUVENATOR,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Gabator NT 300 Tablet,NEURO CNS,75,1.27,8.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Telaid CT 40mg/6.25mg Tablet,CARDIAC,42,0.71,9.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Role 1mg Tablet,NEURO CNS,480,8.11,1.89,High Flexibility (Safe),Lean Inventory (Low Risk)
Daypenam 1gm Injection,ANTI INFECTIVES,134,2.26,7.74,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lewis 250mg Tablet,OPHTHAL,586,9.9,0.1,High Flexibility (Safe),Lean Inventory (Low Risk)
Cbesta Cream,DERMA,497,8.4,1.6,High Flexibility (Safe),Lean Inventory (Low Risk)
Insivace TH 100mg/4mg Tablet,PAIN ANALGESICS,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Juslina 5mg Tablet,ANTI DIABETICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Cyhept Syrup,VITAMINS MINERALS NUTRIENT,380,6.42,3.58,Medium Flexibility,Regular Monitoring
Duvadilan IM/IV 5mg Injection,GYNAECOLOGICAL,23,0.39,9.61,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Clinpeu 300mg Capsule,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Fibohist 16 Tablet,NEURO CNS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Cin 25 Tablet,NEURO CNS,9,0.15,9.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sufeon 20mg Injection,GYNAECOLOGICAL,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Kolcare Tablet,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Gab NT 400mg/10mg Tablet,NEURO CNS,16,0.27,9.73,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Montespace-AL Tablet SR,RESPIRATORY,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Defion 6 Tablet,HORMONE,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Dropros-M Tablet,GASTRO INTESTINAL,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Talnav 40mg Tablet,CARDIAC,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Flextab MR 100 mg/325 mg/500 mg Tablet,PAIN ANALGESICS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabzaris 20mg Tablet,GASTRO INTESTINAL,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Bisolor AM 5mg/5mg Tablet,CARDIAC,376,6.35,3.65,Medium Flexibility,Regular Monitoring
D3 Sure Nano Shot Oral Solution 5ml,VITAMINS MINERALS NUTRIENTS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Verto-B 16mg Tablet,NEURO CNS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Techtran Suspension,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nubary-SR Tablet,NEURO CNS,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Gabawell Gel,NEURO CNS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
CTD-L 6.25/25 Tablet,CARDIAC,101,1.71,8.29,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Finturn 1mg Tablet,UROLOGY,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Safodex 50mg Suspension,ANTI INFECTIVES,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabalik-LSR Capsule,GASTRO INTESTINAL,591,9.98,0.02,High Flexibility (Safe),Lean Inventory (Low Risk)
Lormine P 8mg/325mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Nozispray Nasal Spray,RESPIRATORY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Dualscan SP 50mg/325mg/15mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Canditral SB Capsule,ANTI INFECTIVES,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Elebact OF 200mg/200mg Tablet,ANTI INFECTIVES,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fedixim-CV Tablet,ANTI INFECTIVES,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Vorast 8mg Tablet DT,GASTRO INTESTINAL,30,0.51,9.49,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vidamb 100mg Tablet,ANTI DIABETICS,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Vonaz 200 Tablet,ANTI INFECTIVES,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ibformin-G 0.5 Tablet,ANTI DIABETICS,17,0.29,9.71,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Wbc Cream,DERMA,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Galvus Met 50mg/500mg Tablet,ANTI DIABETICS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Equimet-G1 Tablet PR,ANTI DIABETICS,69,1.17,8.83,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Glimfirst MV 2 Tablet ER,ANTI DIABETICS,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Ezact 90 Tablet,PAIN ANALGESICS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Rlx 500mg Tablet,OPHTHAL,44,0.74,9.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lobac 10mg Tablet,PAIN ANALGESICS,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Lorfit 8mg Tablet,PAIN ANALGESICS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coti H Eye Ointment,OPHTHAL OTOLOGICAL,102,1.72,8.28,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Recartin 50mg Tablet,PAIN ANALGESICS,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sanclofen-SP Tablet,PAIN ANALGESICS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
G Tase M 15 mg/500 mg Tablet,ANTI DIABETICS,48,0.81,9.19,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Mycosol C Cream,DERMA,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Euglim 1 Tablet,ANTI DIABETICS,22,0.37,9.63,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Tabb-P Tablet,PAIN ANALGESICS,103,1.74,8.26,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Roxigo 150mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Oxytime OZ 200mg/500mg Tablet,GASTRO INTESTINAL,46,0.78,9.22,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vericold Tablet,RESPIRATORY,21,0.35,9.65,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Losawun H 50mg/12.5mg Tablet,CARDIAC,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Paracad 500mg Tablet,PAIN ANALGESICS,131,2.21,7.79,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Evadapa 10 Tablet,ANTI DIABETICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Bacigyl 400mg Tablet,ANTI INFECTIVES,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lynim P 100mg/325mg Tablet,PAIN ANALGESICS,160,2.7,7.3,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drotikind-M Tablet,GASTRO INTESTINAL,59,1.0,9.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Dazole-DSR Tablet,GASTRO INTESTINAL,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Levocon 500mg Tablet,OPHTHAL,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Dolozin 50 mg/2 mg Tablet,PAIN ANALGESICS,0,0.0,10.0,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Vrikast LC 5mg/10mg Tablet,RESPIRATORY,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Leuprosta Depot 22.5mg Injection,GYNAECOLOGICA,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nitpace Tablet,UROLOGY,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
Almefkem 500mg Tablet,PAIN ANALGESICS,68,1.15,8.85,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Erythrocin 100mg Tablet,ANTI INFECTIVES,375,6.33,3.67,Medium Flexibility,Regular Monitoring
Voglomine 500mg/0.3mg Tablet,ANTI DIABETICS,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Sarotena 50mg Tablet,NEURO CNS,379,6.4,3.6,Medium Flexibility,Regular Monitoring
Nurokiz Forte 100mcg/100mg/1500mcg Injection,VITAMINS MINERALS NUTRIENT,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Glicotar 60mg/500mg Tablet,ANTI DIABETICS,478,8.07,1.93,High Flexibility (Safe),Lean Inventory (Low Risk)
Silitra 100mg Capsule,ANTI INFECTIVES,41,0.69,9.31,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Lycobold Capsule,VITAMINS MINERALS NUTRIENTS,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
MR Met 1000mg Tablet,ANTI DIABETICS,577,9.75,0.25,High Flexibility (Safe),Lean Inventory (Low Risk)
Nanoway Nano Shot (5ml Each) Sugar Free,VITAMINS MINERALS NUTRIENTS,479,8.09,1.91,High Flexibility (Safe),Lean Inventory (Low Risk)
Rabeks-D 10mg/20mg Tablet,GASTRO INTESTINAL,483,8.16,1.84,High Flexibility (Safe),Lean Inventory (Low Risk)
Inhipan-DSR Capsule,GASTRO INTESTINAL,19,0.32,9.68,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Clopisa 150mg/75mg Capsule,BLOOD RELATE,72,1.22,8.78,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Livride 5mg Tablet,RESPIRATORY,482,8.14,1.86,High Flexibility (Safe),Lean Inventory (Low Risk)
Edawin 1.5mg Injection,NEURO CNS,589,9.95,0.05,High Flexibility (Safe),Lean Inventory (Low Risk)
Nkounter 200mg Tablet,ANTI INFECTIVES,590,9.97,0.03,High Flexibility (Safe),Lean Inventory (Low Risk)
MINOFALL 2% SOLUTION,DERMA,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Pedicef 50mg Dry Syrup,ANTI INFECTIVES,263,4.44,5.56,Medium Flexibility,Regular Monitoring
Ergolin 0.125mg Tablet,GYNAECOLOGICAL,67,1.13,8.87,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Planokuf T Syrup,RESPIRATORY,35,0.59,9.41,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nipidol AT 5mg/50mg Tablet,CARDIAC,587,9.92,0.08,High Flexibility (Safe),Lean Inventory (Low Risk)
Nimelide 100mg Tablet,PAIN ANALGESICS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
